"","sample.size","estimate","estimator","subset","nuisance","term.A","term.B","term.C","term.D","term.E","term.F"
"156",1000,0.139665761454444,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"157",1000,0.123301717124397,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"158",1000,0.106707008049764,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"159",1000,0.192166863813017,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"160",1000,0.172389410976127,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"161",1000,0.174897076677339,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"162",1000,0.188660044043383,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"163",1000,0.160037354070889,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"164",1000,0.1071696800601,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"165",1000,0.0700645124576321,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"166",1000,0.160863683009135,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"167",1000,0.114752026368502,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"168",1000,0.118326345607484,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"169",1000,0.147906511196299,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"170",1000,0.144630267819185,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"171",1000,0.0879068579206391,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"172",1000,0.0923075701345211,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"173",1000,0.158301042882185,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"174",1000,0.160491800019106,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"175",1000,0.16086999184714,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"176",1000,0.162903592031705,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"177",1000,0.167135900566061,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"178",1000,0.114129807285793,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"179",1000,0.124601182400254,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
"180",1000,0.194324082976021,"aipw","minimal","linear",NA,NA,NA,NA,NA,NA
"181",1000,0.203132564113,"aipw","extended","linear",NA,NA,NA,NA,NA,NA
"182",1000,0.203054160080721,"aipw","smart","linear",NA,NA,NA,NA,NA,NA
"183",1000,0.122844927531989,"ipw","minimal","linear",NA,NA,NA,NA,NA,NA
"184",1000,0.139779656958715,"ipw","extended","linear",NA,NA,NA,NA,NA,NA
"185",1000,0.0694258004165088,"t-learner","minimal","linear",NA,NA,NA,NA,NA,NA
"186",1000,0.0867289520798244,"t-learner","extended","linear",NA,NA,NA,NA,NA,NA
